;_id;instance_mturk;class_mturk;majority voting;yes;uncertain;no;instance_web;class_web;frequency;pidspread;pldspread;modifications;label
0;516170918;super corrupt administration;huge failure,period;yes;7;0;2;administration;failure,period;1;1;1;['p8c'];1
1;139132257;photobucket;online photo editing;yes;7;0;2;photobucket;editing;9;3;9;['p5', 'p5p8a', 'p5', 'p4'];1
2;105870566;julius caesar;emperors;yes;7;0;2;caesar;emperors;3;3;3;['p5p23cp3a'];1
3;209693125;pub;place selling alcohol orhave;yes;6;0;3;pub;orhave;1;1;1;['p4'];1
4;63424816;locality;identification;yes;5;1;3;locality;identification;3;2;3;['p5p3a'];1
5;482339352;precision ultrafast light sciences;cradle of innovative idea;no;1;2;6;sciences;cradle;1;1;1;['p8a'];0
6;38102990;talking;greed;no;0;0;9;talking;greed;3;1;3;['p28c'];0
7;200904680;interactive shell;api';no;2;1;6;shell;api';1;1;1;['p1'];0
8;221701292;various component shown;closure in the sense;no;1;0;8;shown;closure;16;4;6;['p5', 'p5p10', 'p5', 'p5', 'p5', 'p5', 'p3a', 'p5', 'p8a'];0
9;460714625;shin;opponent;no;1;0;8;shin;opponent;1;1;1;['p3a'];0
10;355208782;sirjunlegun the dia location;joke;no;0;2;7;sirjunlegun;joke;1;1;1;['p8a'];0
11;395114780;smoker;plenty of chair;no;1;0;8;smoker;plenty;4;3;3;['p3a', 'p36', 'p2', 'p36'];0
12;454218307;lute song;moreover;no;0;3;6;song;moreover;8;4;8;['p34p23dp23b', 'p5', 'p34'];0
13;289879047;touching song;amazonmp3;no;1;2;6;song;amazonmp3;1;1;1;['p8a'];0
14;270852864;advance in the southeastern;stocker cattle;no;0;3;6;advance;cattle;1;1;1;['p23b'];0
15;216545977;sponsorship;monetization;no;4;0;5;sponsorship;monetization;2;1;1;['p2', 'p2'];0
16;180629234;stx-expr;identifier;no;0;3;6;stx-expr;identifier;1;1;1;['p8a'];0
17;31025489;superintendence;expert service in connection;no;0;0;9;superintendence;service;7;2;4;['p1p28b', 'p1'];0
18;345949982;superamp;clarity;no;0;1;8;superamp;clarity;1;1;1;['p8b'];0
19;1231983;shoshanna;protagonist on the hbo;no;2;0;7;shoshanna;protagonist;1;1;1;['p12a'];0
20;454345438;tungsten carbide insert tcus;foothill with various type;no;0;3;6;tcus;foothill;4;1;4;['p3a', 'p3a'];0
21;268660971;seconds;warmth;no;0;0;9;seconds;warmth;2;2;2;['p8b', 'p28a'];0
22;390484094;competent schwab;beyond;no;0;0;9;schwab;beyond;1;1;1;['p8a'];0
23;365932273;north;scrub;no;0;0;9;north;scrub;4;4;4;['p23a', 'p8b', 'p25', 'p23d'];0
24;92172679;human figure rmah;image;no;1;2;6;rmah;image;1;1;1;['p3a'];0
25;404231247;rhythm of life;american elf;no;0;0;9;rhythm;elf;1;1;1;['p21a'];0
26;184025665;pilch recalled;early morning valentine;no;0;0;9;recalled;valentine;1;1;1;['p8b'];0
27;76709207;poverty;muse;no;0;1;8;poverty;muse;1;1;1;['p36'];0
28;243760643;john philips 1;exaltation of paltry subject;no;1;3;5;philips;exaltation;1;1;1;['p5'];0
29;265625812;advanced font viewer pc;comprehensive applicatio;no;2;2;5;pc;applicatio;1;1;1;['p8a'];0
30;298293257;paula;surprise;no;1;0;8;paula;surprise;2;2;2;['p8d', 'p8a'];0
31;243735969;parable;aggression by author;no;0;3;6;parable;aggression;1;1;1;['p28c'];0
32;433632020;grand bohemian hotel orlando;art collector richard kessler;no;0;1;8;orlando;kessler;1;1;1;['p3a'];0
33;265538957;ok;instructer;no;0;0;9;ok;instructer;1;1;1;['p8b'];0
